council_area_code,council_area_name,year,age,sex,population
S12000005,Clackmannanshire,2024,0,all,438
S12000005,Clackmannanshire,2024,1,all,445
S12000005,Clackmannanshire,2024,2,all,475
S12000005,Clackmannanshire,2024,3,all,476
S12000005,Clackmannanshire,2024,4,all,454
S12000005,Clackmannanshire,2024,5,all,475
S12000005,Clackmannanshire,2024,6,all,531
S12000005,Clackmannanshire,2024,7,all,521
S12000005,Clackmannanshire,2024,8,all,535
S12000005,Clackmannanshire,2024,9,all,570
S12000005,Clackmannanshire,2024,10,all,531
S12000005,Clackmannanshire,2024,11,all,610
S12000005,Clackmannanshire,2024,12,all,646
S12000005,Clackmannanshire,2024,13,all,621
S12000005,Clackmannanshire,2024,14,all,626
S12000005,Clackmannanshire,2024,15,all,657
S12000005,Clackmannanshire,2024,16,all,684
S12000005,Clackmannanshire,2024,17,all,629
S12000005,Clackmannanshire,2024,18,all,623
S12000005,Clackmannanshire,2024,19,all,529
S12000005,Clackmannanshire,2024,20,all,504
S12000005,Clackmannanshire,2024,21,all,421
S12000005,Clackmannanshire,2024,22,all,446
S12000005,Clackmannanshire,2024,23,all,515
S12000005,Clackmannanshire,2024,24,all,545
S12000005,Clackmannanshire,2024,25,all,531
S12000005,Clackmannanshire,2024,26,all,532
S12000005,Clackmannanshire,2024,27,all,577
S12000005,Clackmannanshire,2024,28,all,570
S12000005,Clackmannanshire,2024,29,all,607
S12000005,Clackmannanshire,2024,30,all,565
S12000005,Clackmannanshire,2024,31,all,660
S12000005,Clackmannanshire,2024,32,all,686
S12000005,Clackmannanshire,2024,33,all,688
S12000005,Clackmannanshire,2024,34,all,643
S12000005,Clackmannanshire,2024,35,all,630
S12000005,Clackmannanshire,2024,36,all,687
S12000005,Clackmannanshire,2024,37,all,654
S12000005,Clackmannanshire,2024,38,all,610
S12000005,Clackmannanshire,2024,39,all,627
S12000005,Clackmannanshire,2024,40,all,621
S12000005,Clackmannanshire,2024,41,all,637
S12000005,Clackmannanshire,2024,42,all,674
S12000005,Clackmannanshire,2024,43,all,632
S12000005,Clackmannanshire,2024,44,all,619
S12000005,Clackmannanshire,2024,45,all,607
S12000005,Clackmannanshire,2024,46,all,596
S12000005,Clackmannanshire,2024,47,all,593
